workerid,proliferate.condition,age,assess,comments,culture,education,gender,otherLanguage,problems,spanish_country_years,spanish_family_years,spanish_schhol_work_years,error
52,condition1,30,No,,México,2,Female,Español,No,30,30,30,
46,condition1,37,No,,México,3,Male,español ingles,,37,37,20,
51,condition1,23,No,,México,3,Female,"Español, inglés, francés",,23,23,23,
48,condition1,30,No,No,México,3,Female,"Español, Inglés, Italiano",No,30,30,30,
43,condition1,29,No,no,"Mexico, Latinoamerica, Hispano",3,Male,"Español, Ingles",no,29,29,25,
50,condition1,30,No,El estudio fue entretenido de completar,Mexico,3,Male,"Español, ingles",Ninguno,30,30,26,
61,condition1,46,No,ninguno,México,1,Male,"español, ingles",no,46,46,46,
67,condition1,28,No,no,México,3,Female,"español, inglés, mandarín",no,28,28,28,
65,condition1,21,Yes,no ,méxico y estados unidos,2,Female,español ingles frances,"no, todo ha ido excelente",21,21,5,
63,condition1,38,Yes,No,Mexico,1,Female,"Español, Ingles",No,38,38,38,
42,condition1,22,Yes,realmente es un estudio sencillo pero un poco desgastante para la vista ,Mexicano,1,Male,"Español, Ingles",,22,22,22,
71,condition1,31,No,"Ninguno, todo estuvo bien",México,3,Male,"Español, inglés",Ninguno,31,31,31,
69,condition1,25,No,,México,3,Male,"Español, Inglés",ningún problema,25,25,23,
62,condition1,45,Yes,por el momento no,"Mexico, Estados Unidos",2,Male,"español, ingles","no, ninguno",12,45,12,
56,condition1,22,No,gracias,Mexico,1,Female,"Español, Ingles ",no,22,22,18,
45,condition1,23,Yes,Ninguno ,México,3,Female,"Español, inglés, alemán ",Ninguno ,23,23,23,
59,condition1,28,No,,"Mexicco, Estados Unidos",3,Female,"español, ingles, frances",,28,28,24,
41,condition1,40,No,,México,4,Male,"Español, Inglés",Ningun problema,40,40,40,
49,condition1,30,No,Ninguno,México,3,Female,"Español, Inglés",Ninguno,30,30,25,
57,condition1,29,No,NO,Mexico,3,Male,español e ingles,NO,26,29,14,
70,condition1,25,No,N/A,México,3,Female,"Español, inglés, francés",N/A,25,25,25,
44,condition1,35,No,"Interesante, algo divertido","Venezuela, mexico, italia",3,Male,"español, ingles",Ningun problema,34,35,34,
66,condition1,43,No,No,"México, Estados Unidos",3,Male,"Español, ingles.",No,33,40,40,
68,condition1,41,No,Ninguno,México,4,Female,"Español, Inglés, Catalán",No ,41,41,41,
58,condition1,25,No,no,mexico,3,Female,"epañol, ingles",no,25,25,18,
64,condition1,28,No,:),Mexico,3,Male,"Español, inglés, francés",No,28,28,20,
73,condition1,35,No,"excelente estudio, muchas gracias",México,3,Male,"español, ingles",ninguno,35,35,27,
55,condition1,32,No,No,México,3,Male,"Español, Inglés",No,32,32,20,
54,condition1,30,No,todo bien,México,3,Female,"español, inglés, francés",no,mexico,mexico,mexico,
72,condition1,28,Yes,no,méxico,1,Male,"español, ingles",no,28,28,23,